Input,Output
Yesterday I went to the doctor  and had to get a shot. <sep> What is your health issue?,I am having shoulder pain from an injury 7-8 years ago.  He decided I should have a cortisone shot.
I am having shoulder pain from an injury 7-8 years ago.  He decided I should have a cortisone shot.,Sorry to hear that. I have same issues with my knees.
I broke my coworker statue which was on her desk. I feel so bad about it.,Oh no_comma_ were you able to tell her you did it?
her desk. I feel so bad about it. <sep> Oh no_comma_ were you able to tell her you did it?,Yes but there is no way to replace that statue. It was a sentimental object for her
did it? <sep> Yes but there is no way to replace that statue. It was a sentimental object for her,Ugh_comma_ I'm sure that was hard.  I'm sorry you had to go through that.
I really dislike people that don't have kindness and have hate in their hearts. ,I SO agree. I would not want to live like that. And it's one thing if they're only affecting themselves -- but when it's aimed at others -- the worst.
that. And it's one thing if they're only affecting themselves -- but when it's aimed at others -- the worst.,I know!.My brother's sister is a very negative person who dislikes a lot of people for no reason!
worst. <sep> I know!.My brother's sister is a very negative person who dislikes a lot of people for no reason!,Isn't that weird? I mean it takes *energy* to be that negative! Does your brother feel that too? Or just can't/won't see it?
My mom just completed seven weeks of radiation treatments for breast cancer!,How is she feeling?
My mom just completed seven weeks of radiation treatments for breast cancer! <sep> How is she feeling?,She's feeling great! I'm so thankful she had such great doctors to treat her!
<sep> How is she feeling? <sep> She's feeling great! I'm so thankful she had such great doctors to treat her!,That's terrific. Hopefully she continues to get better and better. 
I saw my boyfriend commenting on another girls Facebook photos.,How did that make you feel
I saw my boyfriend commenting on another girls Facebook photos. <sep> How did that make you feel,I was very jealous and angry_comma_ insecure.
on another girls Facebook photos. <sep> How did that make you feel <sep> I was very jealous and angry_comma_ insecure.,Did you confront him
I broke my phone,OH I am sorry to hear that. How?
I broke my phone <sep> OH I am sorry to hear that. How?,I dropped it lol
I broke my phone <sep> OH I am sorry to hear that. How? <sep> I dropped it lol,Oh no! I hope you can fix it!
I recently studied very hard for a final exam,I remember those days_comma_ what subject?
I recently studied very hard for a final exam <sep> I remember those days_comma_ what subject?,Physics. It was hard but very worth it. 
a final exam <sep> I remember those days_comma_ what subject? <sep> Physics. It was hard but very worth it. ,It sounds hard! What grade did you get?
I do miss the last decade.I was adolescent and had a lot of fun.,I have the same feeling but for the last 90s and early 2000's. Being an adult is no fun.
<sep> I have the same feeling but for the last 90s and early 2000's. Being an adult is no fun.,No_comma_ it's not.Al responsabilities and no fun. I wish i was Peter Pan.
Being an adult is no fun. <sep> No_comma_ it's not.Al responsabilities and no fun. I wish i was Peter Pan.,Yes or rich. When I was a kid I wanted to grow up. Now that I'm old I want to be a kid again.
My son was invited for a sleepover but we don't know the host family very well.,Did you decline? I would not feel very comfortable until i got to know the family. 
very well. <sep> Did you decline? I would not feel very comfortable until i got to know the family. ,Yes_comma_ and it was hard to decide because my son really wanted to go.  But you can't just trust anybody these days.
was hard to decide because my son really wanted to go.  But you can't just trust anybody these days.,I agree_comma_ you made the right choice. And it gives you time to get to know the hosts before a future sleepover!
maternity leave_comma_ I worked from home a little bit.  I don't think my boss liked it very much though.,Oh_comma_ well that isn't fair of your boss! Most people wouldn't work at all while are maternity leave_comma_ he should be grateful!
that isn't fair of your boss! Most people wouldn't work at all while are maternity leave_comma_ he should be grateful!,You would think_comma_ but he would literally yell at me over the phone about things that happened when I wasn't even there.
think_comma_ but he would literally yell at me over the phone about things that happened when I wasn't even there.,Well_comma_ sounds like your boss is stressed out too much and taking it out on you! Maybe he needs a long break!
midnight and watched ESPN to see who would acquire him.  I thought he would end up staying in Cleveland.,Do you mean LeBron James? I was hoping he'd come to Miami!
he would end up staying in Cleveland. <sep> Do you mean LeBron James? I was hoping he'd come to Miami!,Yes I do!  Wow_comma_ if he went to Miami that would've been crazy!  
come to Miami! <sep> Yes I do!  Wow_comma_ if he went to Miami that would've been crazy!  ,I wish he would have! The Heat can use his help! Haha!
I was so shocked that my husband bought me tickets to see my favorite NFL team_comma_ the Steelers_comma_ in Jacksonville!,That must've been awesome.  I've only been to one NFL game and it was wild!
Steelers_comma_ in Jacksonville! <sep> That must've been awesome.  I've only been to one NFL game and it was wild!,The game is in November! I've never been to an NFL game! I was so shocked that he bought the tickets!
game is in November! I've never been to an NFL game! I was so shocked that he bought the tickets!,I can imagine!  I remember finding out I got free tickets to Disney World one time_comma_ I was ecstatic.
My apartment was robbed. I was totaly devastated by seeing the damages and what was stolen.,Wow I am so sorry. That had to be so scary.  Were the cops able to find any evidence?
Wow I am so sorry. That had to be so scary.  Were the cops able to find any evidence?,No_comma_ they were totaly useless
had to be so scary.  Were the cops able to find any evidence? <sep> No_comma_ they were totaly useless,man I was hoping they would be able to help in some way!  I hope they didn't take anything to personal!
husband and I went to dinner tonight and were looking at pictures of our kids when they were really little.,How sweet! How old are they now?
were looking at pictures of our kids when they were really little. <sep> How sweet! How old are they now?,They are 18 and almost 16_comma_ they say the days go by so slow but the years fly by - and they are right.  I can't believe they are not that little anymore.
but the years fly by - and they are right.  I can't believe they are not that little anymore.,This is true for me as well_comma_ I have a 17 and 19 years old. I can't believe it_comma_ and just turned 40 on the 5th.
I hate the ocean. I am very scared.,That's..intriguing. Is there any particular reason why you're scared of the ocean?
hate the ocean. I am very scared. <sep> That's..intriguing. Is there any particular reason why you're scared of the ocean?,I almost drowned once when I was little.
Is there any particular reason why you're scared of the ocean? <sep> I almost drowned once when I was little.,Really? Same..I was about 5 in the deep end by myself.  How old were you?
first time...the first girl I met was decent in the pictures_comma_ but turned out to be a bombshell in person...,I do not like OkCupid.
was decent in the pictures_comma_ but turned out to be a bombshell in person... <sep> I do not like OkCupid.,Okay buddy what do you like
out to be a bombshell in person... <sep> I do not like OkCupid. <sep> Okay buddy what do you like,I prefer Tinder.
I wish I was Brad Pitt.,"I wish i was Chris Pratt but why do you wanna be ""The Pitt"""
"wish I was Brad Pitt. <sep> I wish i was Chris Pratt but why do you wanna be ""The Pitt""",He makes a lot of money and is famous.
"Chris Pratt but why do you wanna be ""The Pitt"" <sep> He makes a lot of money and is famous.",This is very true_comma_ But would you want to be bugged by people all the time.
christmas was i was a kid i was so surprised i lost my mind i was so happy and hyper.,I love Pokemon.
a kid i was so surprised i lost my mind i was so happy and hyper. <sep> I love Pokemon.,"Nice_comma_ They also got it on recording so you just see me screaming ""POKEMON! POKEMON!"""
"<sep> I love Pokemon. <sep> Nice_comma_ They also got it on recording so you just see me screaming ""POKEMON! POKEMON!""",Cool. I liked Pokemon blue.
When I fail at school I get so mad.,Why do you fail? Do you not study?
When I fail at school I get so mad. <sep> Why do you fail? Do you not study?,I do study but I am not smart.
so mad. <sep> Why do you fail? Do you not study? <sep> I do study but I am not smart.,No one is smart until they learn to be smart. We are all born with brains but not smarts. We must gain smarts.
I wish I was Donald Trump. His life is amazing.,You can be the next trump if you work hard.
wish I was Donald Trump. His life is amazing. <sep> You can be the next trump if you work hard.,I hope so. I want to be rich like him.
can be the next trump if you work hard. <sep> I hope so. I want to be rich like him.,You have to work hard and get good at somehting.
I cried all day when my grandma died.,I'm sorry to hear that. You two were close?
I cried all day when my grandma died. <sep> I'm sorry to hear that. You two were close?,Yes. I visited her every summer.
my grandma died. <sep> I'm sorry to hear that. You two were close? <sep> Yes. I visited her every summer.,I did the same with mine. I lived with her during the summers and went home when school started back.
Ugh_comma_ I was so embarrassed with myself the other day for snapping at a sales lady.,Hey_comma_ it happens sometimes. What was the situation?
with myself the other day for snapping at a sales lady. <sep> Hey_comma_ it happens sometimes. What was the situation?,I wanted to purchase an item that was marked wrong and she refused to honor the posted price. I thought it was shady_comma_ but she ended up being so nice and helpful. I felt so bad.
posted price. I thought it was shady_comma_ but she ended up being so nice and helpful. I felt so bad.,Trust me I've been there! Some days are better than others. Did you apologize?
when Jordan hit that game winning shot against my Utah Jazz in the late 90's.  Still can't believe it.,I know that must have been so disappointing!
Utah Jazz in the late 90's.  Still can't believe it. <sep> I know that must have been so disappointing!,We would beat them in the regular season over and over but when it came to the finals and specifically the 98' finals_comma_ the Bulls just ruined any chance the Jazz had.
when it came to the finals and specifically the 98' finals_comma_ the Bulls just ruined any chance the Jazz had.,Well there will always be other chances for this match up to play out again.
My husband is an over the road truck driver and I dont get to see him a lot.,I'm sorry to hear that.  It must be difficult to be away from the one you love.
lot. <sep> I'm sorry to hear that.  It must be difficult to be away from the one you love.,Yes. We have been blessed to be able to comfort each other through the tough times.
one you love. <sep> Yes. We have been blessed to be able to comfort each other through the tough times.,I'm glad to hear that.  I wish you continued love and success with your marriage.  It's a rare gift to have these days.
My friend Phil really bugs me.,Does he have good characteristics too_comma_ or is he just annoying all the time?
friend Phil really bugs me. <sep> Does he have good characteristics too_comma_ or is he just annoying all the time?,He is a nice guy but talks too much.
characteristics too_comma_ or is he just annoying all the time? <sep> He is a nice guy but talks too much.,Does he at least have interesting things to say when he talks?
father has done some dumb things. He missed a soccer game once and i was just not happy with him.,Sorry to hear that.  Do you play soccer
game once and i was just not happy with him. <sep> Sorry to hear that.  Do you play soccer,Not anymore_comma_ I play Hockey more which he would show up to those games.
 Do you play soccer <sep> Not anymore_comma_ I play Hockey more which he would show up to those games.,Oh cool.  Maybe he was more of a hockey fan
which he would show up to those games. <sep> Oh cool.  Maybe he was more of a hockey fan,He is honestly
up to those games. <sep> Oh cool.  Maybe he was more of a hockey fan <sep> He is honestly,How long have you been playing
Before I sucked at talking to girls...now I'm getting numbers left and right,Yeah when you break that fear from asking life gets A LOT better.
I'm getting numbers left and right <sep> Yeah when you break that fear from asking life gets A LOT better.,For sure. Are you female or male
when you break that fear from asking life gets A LOT better. <sep> For sure. Are you female or male,I am a male so it was hard at first to do that since most girls do want some assertive guys.
I wish I never lied to my dad.,I'm sure you had a good reason. What was it about?
I wish I never lied to my dad. <sep> I'm sure you had a good reason. What was it about?,About my test score at school.
dad. <sep> I'm sure you had a good reason. What was it about? <sep> About my test score at school.,Why would you lie about that? It couldn't have been that bad? 
We are having our family reunion this weekend. It should be a lot of fun,I love family reunions.
We are having our family reunion this weekend. It should be a lot of fun <sep> I love family reunions.,I'm gald we are doing it because we didn't have one last year. I proud that we can overcome our difference and hang out.
doing it because we didn't have one last year. I proud that we can overcome our difference and hang out.,Thats great. Where did you meet?
last year. I proud that we can overcome our difference and hang out. <sep> Thats great. Where did you meet?,My dad's side of my family.
overcome our difference and hang out. <sep> Thats great. Where did you meet? <sep> My dad's side of my family.,That's great. Where did you meet?
I listened to a song the other day that reminded me of the past.,What song was it?
I listened to a song the other day that reminded me of the past. <sep> What song was it?,Glycerine by Bush. It made me feel odd_comma_ like I was in the past. 
What song was it? <sep> Glycerine by Bush. It made me feel odd_comma_ like I was in the past. ,I've never heard of it_comma_ is it from the 80's?
Christmas Eve.  I was disappointed when there was nothing there...but the next morning woke up to an Xbox 360,I have a Xbox 360.
when there was nothing there...but the next morning woke up to an Xbox 360 <sep> I have a Xbox 360.,That's cool.  What are your favorite games mine are COD MWII and madden
I have a Xbox 360. <sep> That's cool.  What are your favorite games mine are COD MWII and madden,I love Madden.
I know I will pass my English class.,Cool. What makes you so confident
I know I will pass my English class. <sep> Cool. What makes you so confident,I have studied and know the material.
will pass my English class. <sep> Cool. What makes you so confident <sep> I have studied and know the material.,Nice. gotta love easy credit when you put in the work
I wish I was Batman. He is cool.,He is cool. I would settle for a British butler. Is he your favorite super hero?
He is cool. <sep> He is cool. I would settle for a British butler. Is he your favorite super hero?,Yes not even close. He is the best.
settle for a British butler. Is he your favorite super hero? <sep> Yes not even close. He is the best.,I really like Batman too_comma_ Christian Bale is my favorite Batman. 
I am ready for my vacation.,So exciting! Where are you going again?
I am ready for my vacation. <sep> So exciting! Where are you going again?,I am going to Australia.
I am ready for my vacation. <sep> So exciting! Where are you going again? <sep> I am going to Australia.,Whoa! That's incredible! I've never even been out of the country. Who are you going with again?
I always feel loyality is the strongest thing in a relationship.,I agree completely.
I always feel loyality is the strongest thing in a relationship. <sep> I agree completely.,My girlfriend makes me so happy just why would i want to destroy that.
relationship. <sep> I agree completely. <sep> My girlfriend makes me so happy just why would i want to destroy that.,Where did you meet her?
I really enjoyed IT_comma_ I was surprised.,The movie or Information Technology?
I really enjoyed IT_comma_ I was surprised. <sep> The movie or Information Technology?,The movie. It was really good.
I really enjoyed IT_comma_ I was surprised. <sep> The movie or Information Technology? <sep> The movie. It was really good.,I liked it a lot too_comma_ Can't wait for the next part of it.
I am ready for school to start.,Me too! When do you start school?
I am ready for school to start. <sep> Me too! When do you start school?,In August_comma_ when do you?
am ready for school to start. <sep> Me too! When do you start school? <sep> In August_comma_ when do you?,August as well.  What are you studying?
I am so mad at my son. ,What did he do?
I am so mad at my son.  <sep> What did he do?,I asked him three times today to do his chores and they still aren't done.  I don't know what I have to do to make him listen.
his chores and they still aren't done.  I don't know what I have to do to make him listen.,Did you try to bribe him?
My husband brought me a birthday present last month that I was very excited to receive,What did he buy you?
brought me a birthday present last month that I was very excited to receive <sep> What did he buy you?,An iPhone 8!  I sooo needed a new one_comma_ I've been using a 5 for years and it would barely hold a charge.  I really like the 8.
I've been using a 5 for years and it would barely hold a charge.  I really like the 8.,I have an iphone7.
for years and it would barely hold a charge.  I really like the 8. <sep> I have an iphone7.,I think I'm going to get my girls a 7 for Christmas.  They are at that age that they are no longer into toys and really just want money LOL!
I wish I was Elon Musk.,I've heard his net worth is like $20.9 billion dollars!!  I wish I was him too - LOL!
<sep> I've heard his net worth is like $20.9 billion dollars!!  I wish I was him too - LOL!,Yes and started SpaceX.
worth is like $20.9 billion dollars!!  I wish I was him too - LOL! <sep> Yes and started SpaceX.,If I were to travel to Mars_comma_ it would be with him!
caring is good but i will say i have never cared as much for a creature than my first dog.,I can totally relate. Dogs are better than most people. What kid of dog was it?
my first dog. <sep> I can totally relate. Dogs are better than most people. What kid of dog was it?,He was a Dachshund lived til he was 18. I miss him still. 
kid of dog was it? <sep> He was a Dachshund lived til he was 18. I miss him still. ,I'm sorry. Dogs take a piece of our hearts when they go. 18 years is a very long life for a dog_comma_ I bet you had a lot of great times together!
some cute girls...I had my buddy record me bench pressing 350lbs which is way harder...and felt much better after that,Wow_comma_ you are strong.
buddy record me bench pressing 350lbs which is way harder...and felt much better after that <sep> Wow_comma_ you are strong.,Thanks. Been doing it for 3 years_comma_ but anyone can get there!
after that <sep> Wow_comma_ you are strong. <sep> Thanks. Been doing it for 3 years_comma_ but anyone can get there!,What do you eat to be so strong?
Been doing it for 3 years_comma_ but anyone can get there! <sep> What do you eat to be so strong?,Anything and everything. No lie
I am ready to visit Fenway Park.,That's cool.  I'm still a Boston boy...lived in Lowell_comma_ MA in 4-5th grade
ready to visit Fenway Park. <sep> That's cool.  I'm still a Boston boy...lived in Lowell_comma_ MA in 4-5th grade,That is cool. Have you been to Fenway Park?
still a Boston boy...lived in Lowell_comma_ MA in 4-5th grade <sep> That is cool. Have you been to Fenway Park?,No I want to though.  Did you score tickets or something
I took a vacation to Mexico_comma_ but was scared to go anywhere because of the crime in the area.,Oh_comma_ I'm sorry to hear that. Did you stay in the capital?
because of the crime in the area. <sep> Oh_comma_ I'm sorry to hear that. Did you stay in the capital?,I'm not sure_comma_ I think it was Cozmuzel or something like that
that. Did you stay in the capital? <sep> I'm not sure_comma_ I think it was Cozmuzel or something like that,Oh no! Next time_comma_ make sure you go to Mexico City! It's a blast! Besides_comma_ Cozumel isn't really that dangerous at all.
At work_comma_ my coworker are suprised how confident I am in being able to achieve difficult taks.,That's great! It's important to have confidence in yourself and your abilities at work to be successful. It's a good example to set for your coworkers too!
in yourself and your abilities at work to be successful. It's a good example to set for your coworkers too!,Thanks I appreciate. It is my manager that is happy
a good example to set for your coworkers too! <sep> Thanks I appreciate. It is my manager that is happy,Well_comma_ that's the most important one to make sure is happy! Good for you!
I've lived in my house for 19 years and I'm finally remodeling my kitchen!,I can relate - we've been in our house 18 years and have yet to do anything.  What style are you doing it in?
been in our house 18 years and have yet to do anything.  What style are you doing it in?,We are picking out stainless steel appliances_comma_ white cabinets and quartz countertops. It's so much fun to pick everything out!
We are picking out stainless steel appliances_comma_ white cabinets and quartz countertops. It's so much fun to pick everything out!,I bet you are having a blast!!!  How long do you think the renovations will take until you are done?
when our first daughter was born. I developed HELLP syndrome with her and was in the hospital for 7 days.,Oh_comma_ that's terrible!! What is HELLP syndrome?
HELLP syndrome with her and was in the hospital for 7 days. <sep> Oh_comma_ that's terrible!! What is HELLP syndrome?,It's basically when eclampsia progresses to the point that your blood doesn't clot and your organs start shutting down.  I had to stay 7 days past her birth to get my blood to start clotting again.  My sister came down and stayed for 2 weeks to help us out.
my blood to start clotting again.  My sister came down and stayed for 2 weeks to help us out.,Thank goodness she was able to come_comma_ but that must have been so scary! I hope you're okay now!
was such a streeful way to start the day_comma_ with no prior notice to the management change_comma_ and there firing.,I've been there when a new company bought us out. How did you handle it? 
and there firing. <sep> I've been there when a new company bought us out. How did you handle it? ,We were giving the choice to stay or leave with severance package_comma_ I was so nervous and it was on the spot_comma_ I didnt know what to do at first.
severance package_comma_ I was so nervous and it was on the spot_comma_ I didnt know what to do at first.,That sounds stressful. At least they offered severance.
So i yelled at my girl once and now thinking back it was so dumb of me to do that._comma_,Emotions run high - we all say things we don't mean. What happened?
dumb of me to do that._comma_ <sep> Emotions run high - we all say things we don't mean. What happened?,She had a bunch of medical bills and she never saved money most the time. I just got annoyed about it.
had a bunch of medical bills and she never saved money most the time. I just got annoyed about it.,Honestly_comma_ you got to pick one or the other. I can see how you were frustrated_comma_ but I'm glad you realize you shouldn't have yelled.
I wish I had friends.,Why is that? Is there something wrong with you?
I wish I had friends. <sep> Why is that? Is there something wrong with you?,I do not think so but I am shy.
<sep> Why is that? Is there something wrong with you? <sep> I do not think so but I am shy.,You should work on that.Be a better version of yourself.
I am so angry at Donald Trump because he order the separation of children from their parents.,I love Donald Trump.
so angry at Donald Trump because he order the separation of children from their parents. <sep> I love Donald Trump.,There must be something wrong with your soul_comma_ then.
of children from their parents. <sep> I love Donald Trump. <sep> There must be something wrong with your soul_comma_ then.,No_comma_ he lowered my taxes.
I wish I was taller.,My husband has that issue.  Are you shorter than average?
I wish I was taller. <sep> My husband has that issue.  Are you shorter than average?,No I am 6 foot but want to be 6'6.
has that issue.  Are you shorter than average? <sep> No I am 6 foot but want to be 6'6.,I've heard of people trying to hang upside down for hours a day to lengthen themselves.  Not that I think it works_comma_ but apparently many people would like to be taller.
I had some girls in middle school that were very very mean to me - the epitome of mean girls.,That isn't cool. Are you ok?
that were very very mean to me - the epitome of mean girls. <sep> That isn't cool. Are you ok?,Yeah_comma_ but they really made an impression I guess.  They pretended to be a boy that liked me and sent me notes and even a stuffed animal on Valentines.  Then told me it was them - can you imagine!?
me notes and even a stuffed animal on Valentines.  Then told me it was them - can you imagine!?,That is mean. Girls can be mean sometimes.
I was afraid during the earthquake.,That's understandable was it strong? 
I was afraid during the earthquake. <sep> That's understandable was it strong? ,Yes a 4.0
I was afraid during the earthquake. <sep> That's understandable was it strong?  <sep> Yes a 4.0,Wow_comma_ impressive. Was it your first? 
I cried when The Jonas brothers broke up.,really?? I could not care less.
I cried when The Jonas brothers broke up. <sep> really?? I could not care less.,Yes. I love their music.
cried when The Jonas brothers broke up. <sep> really?? I could not care less. <sep> Yes. I love their music.,I am more like a rock and roll type of guy myself.
I am so proud of my wife. .She got a huge promotion at work.,Where does she work?
I am so proud of my wife. .She got a huge promotion at work. <sep> Where does she work?,She works at a marketing Company.She is very talented.
a huge promotion at work. <sep> Where does she work? <sep> She works at a marketing Company.She is very talented.,Thats cool. I went to school for marketing.
out! One of my favorite restaurants that I go to every week was just shut down by the health department!,What score did they get?
that I go to every week was just shut down by the health department! <sep> What score did they get?,I'm not sure but the report said there were over 20 bugs found. Can you imagine how gross the kitchen must be?
sure but the report said there were over 20 bugs found. Can you imagine how gross the kitchen must be?,Yes. I wouldn't go back.
I am happy my brother plays in the MLB.,He does?! So exciting! What team does he play for?
I am happy my brother plays in the MLB. <sep> He does?! So exciting! What team does he play for?,He plays for the New York Yankees.
MLB. <sep> He does?! So exciting! What team does he play for? <sep> He plays for the New York Yankees.,They are doing really well this season! You must be so proud!
At the airport_comma_ I found my luggage broken and objects where stolen,That must have been stressful. Did you report it?
airport_comma_ I found my luggage broken and objects where stolen <sep> That must have been stressful. Did you report it?,Yes_comma_ I filed a complain. I was so angry that could control my temper when I was talking to the agent.
I filed a complain. I was so angry that could control my temper when I was talking to the agent.,Are they going to accept responsibility and buy you new items? 
I ripped my pants during the school play.,Oh man that sucks...I'd be really embarrassed
I ripped my pants during the school play. <sep> Oh man that sucks...I'd be really embarrassed,Yes the whole school laughed.
my pants during the school play. <sep> Oh man that sucks...I'd be really embarrassed <sep> Yes the whole school laughed.,Sorry to here that.  Just curious are you male or female
been degraded for centuries by greedy colonizers I'm still repping my royal kin so people know where I come from.,I am a male.
greedy colonizers I'm still repping my royal kin so people know where I come from. <sep> I am a male.,Are you the one who ripped his pants
people know where I come from. <sep> I am a male. <sep> Are you the one who ripped his pants,I am Filipino also.
from. <sep> I am a male. <sep> Are you the one who ripped his pants <sep> I am Filipino also.,Oh that's cool.  Where are you from I'm from San Pedro Laguna
in law was diagnosed with pancreatic cancer when our daughter was 9 months old.  She was his first granddaughter.,Oh_comma_ I'm so sorry to hear that! I know how hard that can be for the family as well. Is he able to get treatments?
hear that! I know how hard that can be for the family as well. Is he able to get treatments?,He had surgery but it was too advanced.  He was sick for 9 months and passed away when our daughter was 18 months old.  She's 18 now so he's been gone for a little over 16 years now.
daughter was 18 months old.  She's 18 now so he's been gone for a little over 16 years now.,Well_comma_ I can't relate to some extent. My father passed away 2 years unexpectedly. It wasn't from cancer_comma_ and we actually never thought he was going to pass away that day when he went to the hospital. But_comma_ it's very hard to lose loved ones!
You know when you get some new gadget and it just blows your mind?,yes_comma_ I love new gadgets.Specially from the Apple store.
get some new gadget and it just blows your mind? <sep> yes_comma_ I love new gadgets.Specially from the Apple store.,When i was a kid i had a dinky computer could barely run my games. When i got a new one i was run down the halls screaming 60 FPS!
could barely run my games. When i got a new one i was run down the halls screaming 60 FPS!,I remember also playing games with old and slow computers when i was a teenager.
My daughter was very seek for 2 weeks_comma_ but she is way better now.I was so worried for a while.,Was it the summer flu? Heard that went around a lot.
better now.I was so worried for a while. <sep> Was it the summer flu? Heard that went around a lot.,Yes_comma_ it was.She was very dehidrateded and weak for days.
the summer flu? Heard that went around a lot. <sep> Yes_comma_ it was.She was very dehidrateded and weak for days.,That just sounds so bad. Glad she is better now!
I wish I was Lebron James.,Why? You should be happy with who you are.
I wish I was Lebron James. <sep> Why? You should be happy with who you are.,I want to be rich and tall like Lebron.
<sep> Why? You should be happy with who you are. <sep> I want to be rich and tall like Lebron.,Height you can not change but if you work hard anyone can be rich. 
and tall like Lebron. <sep> Height you can not change but if you work hard anyone can be rich. ,I want to be rich and tall like Lebron.
but if you work hard anyone can be rich.  <sep> I want to be rich and tall like Lebron.,Just work hard and make your own money. 
I pray I make the soccer team this year.,I'm sure you will. Have you been training? 
I pray I make the soccer team this year. <sep> I'm sure you will. Have you been training? ,Yes_comma_ everyday for two hours.
soccer team this year. <sep> I'm sure you will. Have you been training?  <sep> Yes_comma_ everyday for two hours.,Do you think that's enough?
I cried when my brother died.,I'm so sorry. That must have been so painful for you. Were you close?
cried when my brother died. <sep> I'm so sorry. That must have been so painful for you. Were you close?,Yes_comma_ he was my best friend.
so sorry. That must have been so painful for you. Were you close? <sep> Yes_comma_ he was my best friend.,My heart hurts for you. That's such a terrible loss.
I was so irked when I took my car in for an oil change last week!!,Is it ok?
I was so irked when I took my car in for an oil change last week!! <sep> Is it ok?,Yes_comma_ it's fine but the salesman tried insisting it required a bunch of unnecessary things_comma_ like synthetic oil which costs twice as much. I know for a fact_comma_ that was a lie.
of unnecessary things_comma_ like synthetic oil which costs twice as much. I know for a fact_comma_ that was a lie.,I do not like salesman.
I am ok with being average.,I don't think there is anything wrong with average. 
I am ok with being average. <sep> I don't think there is anything wrong with average. ,I agree. Average is good.
with being average. <sep> I don't think there is anything wrong with average.  <sep> I agree. Average is good.,We are all average until circumstances require us to be extraordinary. 
I really like the movie_comma_ A Bugs Life.,I saw that movie a long time ago.
I really like the movie_comma_ A Bugs Life. <sep> I saw that movie a long time ago.,Yes. I laughed the whole time.
movie_comma_ A Bugs Life. <sep> I saw that movie a long time ago. <sep> Yes. I laughed the whole time.,What was your favorite part
with her tiny hands...by the time she was done it looked like a shaved pencil_comma_ I thought it was awesome,Cool_comma_ I guess she was strong.
was done it looked like a shaved pencil_comma_ I thought it was awesome <sep> Cool_comma_ I guess she was strong.,Yeah she definitely was...if I have a daughter I'm gonna train her to be a lethal weapon
was strong. <sep> Yeah she definitely was...if I have a daughter I'm gonna train her to be a lethal weapon,Do you have any kids?
Do you have any young children? ,I do not_comma_ how about you?
Do you have any young children?  <sep> I do not_comma_ how about you?,I do_comma_ my son recently turned one and it was such a special day for us! We spent hours going back and looking at all of the photos we had taken of him throughout the first year. 
hours going back and looking at all of the photos we had taken of him throughout the first year. ,Thats cool_comma_ what kind of camera do you have?
we had taken of him throughout the first year.  <sep> Thats cool_comma_ what kind of camera do you have?,We don't have any type of nice camera_comma_ we just use our smartphones. I have an iphone and my husband has a samsung note. The quality on phones now are pretty good_comma_ we have the portrait mode. 
I use to be the number one tennis player in the state.,That is an awesome achievement! Was it for high school or college?
number one tennis player in the state. <sep> That is an awesome achievement! Was it for high school or college?,It was in high school.
state. <sep> That is an awesome achievement! Was it for high school or college? <sep> It was in high school.,I never played any sports in high school_comma_ I always had to work. That is a great accomplishment!
few years back_comma_ my husband was diagnosed with viral meningitis and then while in the hospital he got Bells Palsy.,Yikes_comma_ door guy can't catch a break. Is he ok?
then while in the hospital he got Bells Palsy. <sep> Yikes_comma_ door guy can't catch a break. Is he ok?,Yes_comma_ he's ok now.  It was a very anxious time though because for awhile we did not know if it was bacterial or viral.  He still has some residual issues from the Bells Palsy_comma_ but it's really only noticeable when he gets tired.
 He still has some residual issues from the Bells Palsy_comma_ but it's really only noticeable when he gets tired.,Wow_comma_ thank god he's on the up and up. I can't imagine how rough that must have been.
I wish I did not cheat on my gf.,Man I feel you.  Today was her birthday..but I thought it would be awkward to go over since she blocked me on facebook
 Today was her birthday..but I thought it would be awkward to go over since she blocked me on facebook,Smart move_comma_ I do not like Facebook.
would be awkward to go over since she blocked me on facebook <sep> Smart move_comma_ I do not like Facebook.,Where are you from originally.  I'm Filipino
try to inhale a sandwich? Like literally breath in every crumb like it's the last sandwich they'll ever eat...it's horrible,I have not and don't want to.
in every crumb like it's the last sandwich they'll ever eat...it's horrible <sep> I have not and don't want to.,Well you're one of the lucky ones
they'll ever eat...it's horrible <sep> I have not and don't want to. <sep> Well you're one of the lucky ones,I do like a good sandwich thou. But I eat slow.
I can not believe my friend Joe died.,Awe_comma_ I am sorry for your loss. Was it sudden?
I can not believe my friend Joe died. <sep> Awe_comma_ I am sorry for your loss. Was it sudden?,Yes_comma_ he was only 35.
friend Joe died. <sep> Awe_comma_ I am sorry for your loss. Was it sudden? <sep> Yes_comma_ he was only 35.,I am sorry for the loss. Are you okay?
I am upset England lost in the World Cup.,Was it pretty close?
I am upset England lost in the World Cup. <sep> Was it pretty close?,They lost in overtime_comma_ so yes.
am upset England lost in the World Cup. <sep> Was it pretty close? <sep> They lost in overtime_comma_ so yes.,Bummer.  Haven't seen it.  Don't watch soccer but I respect the sport
a little kid I almost drowned in front of 100 plus people...it kinda sucked but looking back it's kinda funny,Wow_comma_ you are lucky you did not die.
100 plus people...it kinda sucked but looking back it's kinda funny <sep> Wow_comma_ you are lucky you did not die.,Yes I'm pretty grateful.
but looking back it's kinda funny <sep> Wow_comma_ you are lucky you did not die. <sep> Yes I'm pretty grateful.,Did someone save you?
Hillary Clinton makes me sick.,Why? She seems to be nice person
